"IDكود العميل","اسم العميل","رقم الشاسية","نوع الالة","اسم المهندس","نوع العقد","عداد تسليم اسود","عداد تسليم الوان","تاريخ انتهاء العقد","العنوان","التليفون","ملاحظات","Field1"
"","الجامعة الاهلية","RFR9901998","KY6003I","مجدى","ايجار","1942880","","","بجوار الشركة","1208309372","ا / احمد عرفان",""
"","بور لوجيستيك","RFV9300525","KY5003I","مجدى","ضمان","299444","","10/13/2026 12:00:00 AM","المنشية باب 10","01003725588","احمد ربيع",""
"1228","مكتبة القزاز","RFV9803050","KY5003I","شعبان","زيارة","399899","","10/9/2025 12:00:00 AM","باكوس","1289915820","",""
"","ايليت الطبية ( الاشاعة )","RGP0100892","KY6007CI","شعبان","ايجار","787271","81620","","الطريق الدائرى قبل كارفور","","الايجار 1100 جنية",""
"1716","فيتابيوتكس ايجيبت للصناعات الدوائية","RGP0100892 ش","KY6007CI","","ارشيف","758519","70774","","مكتب الهندسية","1001349165","ا / احمد",""
"","ايليت الطبية (الدور 4)","RGP9100066","KY6007CI","شعبان","ايجار","275250","232869","","الطريق الدائرى قبل كارفور","","الايجار 1100 جنية",""
"1717","فيتابيوتكس ايجيبت للصناعات الدوائية","RGP9100066 ش","KY6007CI","","ارشيف","183791","209454","","الادارة - الدور الثانى","1001349165","ا / احمد",""
"1997","شركة كراس","RGQ9300431","KY5007CI","رضا","زيارة","","","","تبع عبد الرحمن المحاسب","","",""
"2174","مكتبة اوريكا","RGQ9901918","KY5007CI","رضا","زيارة","","","","محرم بيك على الترام","01225326203","كيرو",""
"","سيوة ارت","RGQ9901983","KY5007CI","رضا","زيارة","","","","","","",""
"1894","المدرسة الفرنسية (الشاطبى)","RGQ9X02219","KY5007CI","رضا","زيارة","116736","98104","","","","",""
"1675"," مطبعة دريم ارت","RGQ9X02219 ش","KY5007CI","","ارشيف","83099","74562","2/26/2026 12:00:00 AM","ش ايزيس","1207266803","مصطفى نيازي",""
"1709","مكتبة اولاد بكر","RGR0607234","KY4007CI","شعبان","زيارة","227588","46593","2/28/2026 12:00:00 AM","اسكوت مدينة الاطباء","1277565544","ا / محمد عبد الفتاح",""
"1801","ا / حسين الاسيوطى","RGR9Y04856","KY4007CI","رضا","زيارة","797773","7054","5/3/2026 12:00:00 AM","السيوف","1016639040","01281294842",""
"1722","مكتبة محمد سعد","RGS0410971","KY3207CI","عادل","زيارة","21304","9524","3/27/2026 12:00:00 AM","ابيس الثانية","1008200909","",""
"1903","اللؤلؤة","RGS0512766","KY3207CI","رضا","زيارة","","","","تبع عبد الرحمن مجدى","","",""
"1746","مكتبة ال عامر","RGS0Z16409","KY3207CI","عادل","زيارة","42170","176943","3/21/2026 12:00:00 AM","ش /الجمهورية","1001302942","السيد عامر",""
"1739","شركة انبريلا","RGS1117969","KY3207CI","شعبان","زيارة","13397","48085","3/20/2026 12:00:00 AM","السيوف سيتى لايت","1228505240","صابر محمود",""
"1799","مكتبة هدى الاسلام","RGS1419329","KY3253CI","شعبان","ايجار","481923","19348","","ش مكه","1100097749","0112512323ا/حازم نبيل",""
"1707","بازار السعد","RGS8Z00025","KY3207CI","شعبان","زيارة","63627","107122","3/14/2026 12:00:00 AM","كوبرى الناموس","1270720045","",""
"1722","تكنو اليكس","RGS9301860","KY3207CI","مجدى","زيارة","165450","565141","3/9/2026 12:00:00 AM","الادارة - سموحة","1116226255","عمرو نوبي نصر",""
"2076","ح / احمد ابو سعد","RGS9402236","KY3207CI","شعبان","ضمان","114659","54349","10/18/2026 12:00:00 AM","بجوار الشركة","","",""
"2075","مكتبة كيمو","RGS9704724","KY3207CI","عادل","زيارة","346186","88653","10/18/2026 12:00:00 AM","ارض سليم اسكندر","01229683089","السيد محمد السويفى",""
"1728","مكتبة الدكتور","RGS9704801","KY3207CI","شعبان","زيارة","71879","94333","3/29/2026 12:00:00 AM","كوبرى الناموس - امام مسجد القدس","1282343273","محمود عادل الشربينى",""
"1811","كنيسة الملاك بالحدائق","RGS9705370","KY3207CI","عادل","زيارة","274338","38138","5/10/2026 12:00:00 AM","كفر الدوار","1220665538","مدحت منير جرجس",""
"1945","المدينة للمراة  (حسابات عامة)","RGS9805957","KY3207CI","مجدى","زيارة","44495","674417","7/20/2026 12:00:00 AM","سموحه","","",""
"2073","مكتبة مصطقى ( الشرقاوى )","RGS9906381","KY3207CI","شعبان","زيارة","310470","61976","10/17/2026 12:00:00 AM","بجوار الشركة","1224236042","",""
"2219","محمد حمدى السيد دبا","RGS9X07090","KY3207CI","شعبان","ضمان","444722","730876","7/21/2026 12:00:00 AM","الحضرة ش / المفتش امام مسجد الفتاح","01021695433","03/4045324 -- 01288932177",""
"2099","مدرسة براعم الكمال","RGS9Z08539","KY3207CI","شعبان","ضمان","1248402","128089","12/11/2026 12:00:00 AM","عزبة محسن","01224000864","ا / هشام",""
"","هانى المنشاوي","RGT0309746","KY2507CI","شعبان","ايجار","291821","43750","","ش/ ونجت","1002715041","",""
"2139","ايليت الطبية ( مخ واعصاب )","RGT0511838","KY2507CI","شعبان","ايجار","29112","642710","","الطريق الدائرى قبل كارفور","01146766691","الايجار 1100 جنية",""
"1808","شركة ميسكو ( الساحة بور سعيد)","RGT0512316","KY2507CI","مجدى","ايجار","114698","4324","","اللوجيستيك - بور سعيد","01019522388","رؤوف سامى",""
"","رافى مار","RGT0512324","KY2507","مجدى","ضمان","77694","73077","10/13/2026 12:00:00 AM","الجند المجهول المنشية برج الامراء","","",""
"2216","بيت الجملة ( برج العرب المتاجر)","RGT0Z15312","KY2507CI","السيد","ايجار","24165","219871","","برج العرب الجديد بجوار الموقف","","",""
"2128","مكتبة حسام على","RGT9100462","KY2507CI","عادل","ضمان","46486","36029","9/3/2026 12:00:00 AM","النهضة العامرية","01065562759","01126191904",""
"1826","شركة اسكاى جولد","RGT9100466","KY2507CI","عادل","زيارة","","","","باب شرق -- ش / فؤاد","1201940163","احمد",""
"1770","مكتبة النوبية","RGT9100521","KY2507CI","شعبان","زيارة","233317","166417","4/17/2026 12:00:00 AM","ش العاقصى الظاهرية","1273546149","03/5760476",""
"","بيت الجملة فرع العبور الادارة 1","RGT9100954","KY2507CI","وائل","ايجار","249972","63746","","العبور","","",""
"1873","بازار عامر زاد","RGT9301539","KY2507CI","شعبان","زيارة","38131","97703","6/10/2026 12:00:00 AM","المعمورة ش / 25 بجوار الادارة التعليمية -- الضمان 10000 نسخة","01223474597","01212515773",""
"1790","مصنع التوحيد","RGT9402312","KY2507CI","مجدى","صيانة","","","1/31/2027 12:00:00 AM","كفر الدوار","1284343945","ا / عادل عبد المنعم",""
"","بيت الجملة ( مكتب ميراج )","RGT9402356","KY2507CI","وائل","ايجار","134595","129642","","التجمع الخامس","","",""
"1702","شركة ماكو للمقاولات","RGT9X07100","KY2507CI","شعبان","زيارة","139907","624","12/10/2025 12:00:00 AM","السيوف","1226896810"," احمد عبد المجيد --0118933938",""
"1970","ايليت الطبية ( كيدز اريا )","RGT9X07354","KY2507CI","شعبان","ايجار","81047","41862","","الطريق الدائرى قبل كارفور","1559993069","الايجار 1100 جنية",""
"1809","شركة ميسكو (دمياط) ساحة ميلز","RGT9X07354 ش","KY2507CI","","ارشيف","81036","41855","","ميسكو للخدمات اللوجستية المتكاملة ( ساحة ميلز )","","",""
"","الجامعة الاهلية","RGU1301592","KY6057I","مجدى","ايجار","1260545","","","بجوار الشركة","1208309372","ا / احمد عرفان",""
"","تارجت","RGU1301621","KY6057I","مجدى","ايجار","702585","","","ش - وابور المياه","","",""
"1719","فيتابيوتكس ايجيبت للصناعات الدوائية","RGU1301621 ش","KY6057I","","ارشيف","673740","","","المخازن","1001349165","ا / احمد",""
"","الجامعة الاهلية","RGU1501894","KY6057I","مجدى","ايجار","846040","","","بجوار الشركة","1208309372","ا / احمد عرفان",""
"","الجامعة الاهلية","RGU9500401","KY6057I","مجدى","ايجار","999487","","","بجوار الشركة","1208309372","ا / احمد عرفان",""
"1729","شركة تاج لتجارة الكيماويات","RGV0501873","KY5057I","مجدى","صيانة","1216499","","8/24/2026 12:00:00 AM","سيدي جابر اسبورتنج ع الترام -- تم نقل العقد على الكيوسيرا","1063337537","03/5416018",""
"1675","مكتبة الرواد","RGV9X00851","KY5057 I","شعبان","زيارة","316635","","2/27/2026 12:00:00 AM","شارع وينجت بعد المزلقان","1004259308","ا/ سعيد عبد النبي",""
"1712","مدرسة الابداع الدولية","RGV9Y00997","KY5057I","مجدى","صيانة","250045","","9/1/2026 12:00:00 AM","ابيس الزراعى","1227323131","على عبد النبى",""
"","وزارة الصحة هيئة التدريب","RGV9Z01286 ش","KY5057I","","ارشيف","936393","","5/31/2026 12:00:00 AM","دار اسماعيل","","الايجار 30000 نسخة",""
"2170","مكتبة L H","RHC9Z22945","KY4053CI","شعبان","زيارة","","","","المراغى الجديدة ش / 9","01101437472","طارق",""
"1734","جولدين ستارز","RICOH","SP501","مجدى","صيانة","","","8/31/2026 12:00:00 AM","عزبة سكينه خلف شركة الكهرباء العوايد","1066856507","ا/ محمد صبحي ابراهيم",""
"1734","جولدين ستارز","RICOHH","SP501","مجدى","صيانة","","","8/31/2026 12:00:00 AM","عزبة سكينه خلف شركة الكهرباء العوايد","1066856507","ا/ محمد صبحي ابراهيم",""
"429","ايوب برسوم","RL19102035 ش","KY6000","","ارشيف","151010","","4/20/2026 12:00:00 AM"," محطة الرمل/المصريه للخدمات الجمركيه","1014995777","01221064000",""
"1865","شركة ميسكو يوروشبنج","RL19102035 شش","KY6000","","ارشيف","292112","","","خلف/ استاد الاسكندرية","1203000125","ا / شحاتة",""
"447","مكتبة عجمستا","RL19202342","KY6000","","زيارة","215484","","","باكوس ش 20","","",""
"1708","مدرسة جمعية سيدى جابر(بناتى الدائرى)","RTT9X00014","KY8307CI","شعبان","زيارة","752221","34407","3/14/2026 12:00:00 AM","الدائرى ابيس العاشرة","1288756501","ا/ سماح",""
"1941","مكتبة مالك وكوكو القرش","RUY1519779","KY352CI","رضا","زيارة","33939","14907","4/16/2026 12:00:00 AM","عم احمد -- العالمين بجوار مكتب البريد","01288278377","0104084942",""
"","بيت الجملة فرع الورديان","RUZ0903317","KY357CI","السيد","ايجار","3489","22249","","بجوار خفاجة","","",""
"","بيت الجملة فرع الهانوفيل","RUZ0X03494 ش","KY357CI","","ارشيف","22551","29273","","الهانوفيل","","",""
"2200","شركة انابيب البترول","RUZ1105115","KY357CI","عادل","ايجار","105224","30931","","فاكس","","",""
"2129","ا / حسين الاسيوطى","RUZ9X00168","KY357CI","رضا","زيارة","51317","2699","","","","",""
"399","شعبان الشهر العقارى","S2077201620","SP 4100","طارق","زيارة","","","","سيوف شماعة","1155344575","",""
"1899","مدرسة عثمان بن عفان","S2086404442","SP4100","شعبان","زيارة","","","","باكوس","","",""
"1425","ا/صلاح المحامى","S2086502159","SP4100N","يحيي","زيارة","","","","","","",""
"924","شركة النيل للنقل البري","S2089002766","SP 4100","مجدى","زيارة","310868","","1/31/2026 12:00:00 AM","ا / محمد لطفى -- كرموز","1201215434","",""
"171","ادوية السيوف","S214602416 ش","mpc300","","ارشيف","","","6/29/2022 12:00:00 AM","السيوف","1090718182","",""
"20","مكتبة الامناء","S277300955","mp3500","شعبان","زيارة","","","","العصافرة قبلي استوديو كرنفال مدرسة فاطمة الزهراء","1273165079","01229620098 -0121276302",""
"1206","مطبعة هاى كوالتى","S3717020107","SP8200","شعبان","زيارة","","","","لوران","1203499082","ا / بسام",""
